,Location,FIPS,Life Expectancy,County name,"Total per enrollee (age, sex, race adjusted)","Total per enrollee (age, sex, race, price adjusted)"
810,"Clayton County, Iowa",19043,80.50,IA-Clayton County,"8,421 ","8,418 "
811,"Clinton County, Iowa",19045,78.70,IA-Clinton County,"9,545 ","10,068 "
812,"Crawford County, Iowa",19047,80.33,IA-Crawford County,"7,763 ","8,180 "
813,"Dallas County, Iowa",19049,81.49,IA-Dallas County,"8,055 ","8,425 "
814,"Davis County, Iowa",19051,79.84,IA-Davis County,"9,396 ","9,110 "
815,"Decatur County, Iowa",19053,78.29,IA-Decatur County,"8,252 ","8,646 "
816,"Delaware County, Iowa",19055,81.10,IA-Delaware County,"8,383 ","8,831 "
817,"Des Moines County, Iowa",19057,79.15,IA-Des Moines County,"8,281 ","9,042 "
818,"Dickinson County, Iowa",19059,81.27,IA-Dickinson County,"6,818 ","7,415 "
819,"Dubuque County, Iowa",19061,80.03,IA-Dubuque County,"7,845 ","8,573 "
820,"Emmet County, Iowa",19063,79.65,IA-Emmet County,"9,150 ","9,438 "
821,"Fayette County, Iowa",19065,79.90,IA-Fayette County,"9,593 ","9,877 "
822,"Floyd County, Iowa",19067,79.72,IA-Floyd County,"9,421 ","9,921 "
823,"Franklin County, Iowa",19069,80.28,IA-Franklin County,"8,496 ","9,239 "
824,"Fremont County, Iowa",19071,78.84,IA-Fremont County,"11,610 ","11,748 "
825,"Greene County, Iowa",19073,80.03,IA-Greene County,"8,266 ","8,699 "
826,"Grundy County, Iowa",19075,81.32,IA-Grundy County,"8,471 ","8,798 "
827,"Guthrie County, Iowa",19077,80.07,IA-Guthrie County,"9,039 ","9,133 "
828,"Hamilton County, Iowa",19079,80.42,IA-Hamilton County,"9,451 ","10,145 "
829,"Hancock County, Iowa",19081,80.81,IA-Hancock County,"9,642 ","10,043 "
830,"Hardin County, Iowa",19083,79.74,IA-Hardin County,"8,884 ","9,733 "
831,"Harrison County, Iowa",19085,78.08,IA-Harrison County,"9,009 ","9,325 "
832,"Henry County, Iowa",19087,79.55,IA-Henry County,"8,257 ","8,512 "
833,"Howard County, Iowa",19089,80.32,IA-Howard County,"8,645 ","8,452 "
834,"Humboldt County, Iowa",19091,80.40,IA-Humboldt County,"8,474 ","9,420 "
835,"Ida County, Iowa",19093,79.51,IA-Ida County,"10,351 ","11,480 "
836,"Iowa County, Iowa",19095,80.81,IA-Iowa County,"9,110 ","9,210 "
837,"Jackson County, Iowa",19097,79.38,IA-Jackson County,"8,682 ","8,953 "
838,"Jasper County, Iowa",19099,79.82,IA-Jasper County,"7,067 ","7,611 "
839,"Jefferson County, Iowa",19101,80.44,IA-Jefferson County,"8,080 ","9,032 "
840,"Johnson County, Iowa",19103,82.08,IA-Johnson County,"7,784 ","7,898 "
841,"Jones County, Iowa",19105,80.75,IA-Jones County,"9,336 ","10,005 "
842,"Keokuk County, Iowa",19107,80.46,IA-Keokuk County,"9,429 ","8,999 "
843,"Kossuth County, Iowa",19109,81.38,IA-Kossuth County,"8,412 ","9,227 "
844,"Lee County, Iowa",19111,77.52,IA-Lee County,"8,593 ","9,132 "
845,"Linn County, Iowa",19113,80.39,IA-Linn County,"8,463 ","9,072 "
846,"Louisa County, Iowa",19115,79.30,IA-Louisa County,"8,220 ","8,661 "
847,"Lucas County, Iowa",19117,79.19,IA-Lucas County,"7,996 ","8,354 "
848,"Lyon County, Iowa",19119,81.05,IA-Lyon County,"8,648 ","9,270 "
849,"Madison County, Iowa",19121,79.70,IA-Madison County,"7,670 ","7,896 "
850,"Mahaska County, Iowa",19123,80.12,IA-Mahaska County,"8,050 ","8,561 "
851,"Marion County, Iowa",19125,79.22,IA-Marion County,"8,399 ","9,121 "
852,"Marshall County, Iowa",19127,77.37,IA-Marshall County,"7,106 ","7,650 "
853,"Mills County, Iowa",19129,77.93,IA-Mills County,"9,552 ","10,165 "
854,"Mitchell County, Iowa",19131,81.45,IA-Mitchell County,"7,792 ","8,154 "
855,"Monona County, Iowa",19133,77.80,IA-Monona County,"9,131 ","10,217 "
856,"Monroe County, Iowa",19135,77.84,IA-Monroe County,"9,328 ","10,038 "
857,"Montgomery County, Iowa",19137,78.21,IA-Montgomery County,"10,570 ","11,485 "
858,"Muscatine County, Iowa",19139,78.96,IA-Muscatine County,"8,665 ","8,861 "
859,"O'Brien County, Iowa",19141,80.26,IA-O'Brien County,"8,167 ","9,159 "
860,"Osceola County, Iowa",19143,80.29,IA-Osceola County,"8,587 ","9,177 "
861,"Page County, Iowa",19145,78.76,IA-Page County,"11,004 ","11,420 "
862,"Palo Alto County, Iowa",19147,79.52,IA-Palo Alto County,"8,376 ","8,993 "
863,"Plymouth County, Iowa",19149,80.64,IA-Plymouth County,"8,334 ","8,831 "
864,"Pocahontas County, Iowa",19151,79.89,IA-Pocahontas County,"7,812 ","7,831 "
865,"Polk County, Iowa",19153,78.97,IA-Polk County,"7,683 ","8,066 "
866,"Pottawattamie County, Iowa",19155,77.86,IA-Pottawattamie County,"8,775 ","9,316 "
867,"Poweshiek County, Iowa",19157,79.83,IA-Poweshiek County,"6,616 ","7,154 "
868,"Ringgold County, Iowa",19159,79.62,IA-Ringgold County,"10,025 ","10,312 "
869,"Sac County, Iowa",19161,79.82,IA-Sac County,"8,404 ","9,069 "
870,"Scott County, Iowa",19163,79.34,IA-Scott County,"9,248 ","9,788 "
871,"Shelby County, Iowa",19165,80.92,IA-Shelby County,"8,727 ","9,774 "
872,"Sioux County, Iowa",19167,82.86,IA-Sioux County,"9,005 ","9,759 "
873,"Story County, Iowa",19169,82.12,IA-Story County,"7,267 ","7,844 "
874,"Tama County, Iowa",19171,79.58,IA-Tama County,"7,698 ","8,222 "
875,"Taylor County, Iowa",19173,79.72,IA-Taylor County,"9,502 ","9,627 "
876,"Union County, Iowa",19175,78.67,IA-Union County,"7,497 ","7,667 "
877,"Van Buren County, Iowa",19177,78.65,IA-Van Buren County,"9,193 ","9,972 "
878,"Wapello County, Iowa",19179,77.67,IA-Wapello County,"8,779 ","9,315 "
879,"Warren County, Iowa",19181,80.02,IA-Warren County,"7,925 ","8,243 "
880,"Washington County, Iowa",19183,80.51,IA-Washington County,"8,283 ","8,661 "
881,"Wayne County, Iowa",19185,78.39,IA-Wayne County,"8,091 ","8,750 "
882,"Webster County, Iowa",19187,77.74,IA-Webster County,"7,832 ","8,397 "
883,"Winnebago County, Iowa",19189,80.68,IA-Winnebago County,"7,522 ","7,878 "
884,"Winneshiek County, Iowa",19191,82.62,IA-Winneshiek County,"7,320 ","7,502 "
885,"Woodbury County, Iowa",19193,78.35,IA-Woodbury County,"8,477 ","9,182 "
886,"Worth County, Iowa",19195,79.74,IA-Worth County,"8,251 ","8,874 "
887,"Wright County, Iowa",19197,80.32,IA-Wright County,"8,354 ","8,325 "
