,FIPS,Location,Life Expectancy,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
2097,55029,"Door County, Wisconsin",80.95,0.0449,0.0984,0.1051,0.2518,0.0952
2098,55037,"Florence County, Wisconsin",79.47,0.0825,0.2111,0.3181,0.0035,0.1531
2099,55051,"Iron County, Wisconsin",79.27,0.2477,0.3015,0.5734,0.0528,0.3677
2100,55063,"La Crosse County, Wisconsin",80.35,0.1792,0.1904,0.0277,0.5205,0.5543
2101,55085,"Oneida County, Wisconsin",79.47,0.0369,0.1436,0.1496,0.1079,0.0646
2102,55099,"Price County, Wisconsin",79.20,0.1267,0.2025,0.276,0.0828,0.2633
2103,55125,"Vilas County, Wisconsin",79.59,0.1531,0.33399999999999996,0.3687,0.3279,0.0388
2104,55129,"Washburn County, Wisconsin",78.29,0.1012,0.2334,0.2798,0.1369,0.1012
2105,55133,"Waukesha County, Wisconsin",81.55,0.0267,0.0041,0.05,0.4368,0.1038
2106,55139,"Winnebago County, Wisconsin",80.24,0.1544,0.1624,0.0586,0.4298,0.4314
2107,56005,"Campbell County, Wyoming",77.47,0.22699999999999998,0.0662,0.2006,0.5492,0.5342
2108,56017,"Hot Springs County, Wyoming",77.09,0.2146,0.1191,0.4066,0.0592,0.7081
2109,56023,"Lincoln County, Wyoming",80.03,0.0481,0.1178,0.1827,0.2251,0.063
2110,56027,"Niobrara County, Wyoming",78.86,0.3063,0.2954,0.2197,0.2977,0.5969
2111,56037,"Sweetwater County, Wyoming",77.87,0.3808,0.1611,0.3543,0.7112,0.6459999999999999
2112,56041,"Uinta County, Wyoming",77.38,0.5352,0.425,0.5234,0.5476,0.6562
2113,1007,"Bibb County, Alabama",73.97,0.5737,0.7393,0.1022,0.5018,0.6663
2114,1013,"Butler County, Alabama",73.39,0.9166,0.9067,0.9698,0.7529,0.5479
2115,1027,"Clay County, Alabama",75.06,0.5922,0.7275,0.8727,0.4788,0.1697
2116,1061,"Geneva County, Alabama",75.54,0.8173,0.9086,0.9366,0.547,0.3091
2117,1101,"Montgomery County, Alabama",75.83,0.8093,0.6492,0.7195,0.872,0.7383
2118,2060,"Bristol Bay Borough, Alaska",76.70,0.2996,0.0614,0.2652,0.4222,0.8402
2119,2068,"Denali Borough, Alaska",74.50,0.0232,0.013999999999999999,0.0006,0.1977,0.6199
2120,2130,"Ketchikan Gateway Borough, Alaska",78.19,0.5065,0.2187,0.2346,0.7456,0.9188
2121,2170,"Matanuska-Susitna Borough, Alaska",78.11,0.2537,0.2744,0.2235,0.5088,0.2767
2122,2230,"Skagway Municipality, Alaska",79.90,0.0993,0.0624,0.0,0.2783,0.9398
2123,2240,"Southeast Fairbanks Census Area, Alaska",77.77,0.6068,0.3658,0.4629,0.7826,0.8125
2124,2275,"Wrangell City and Borough, Alaska",78.19,0.7176,0.2894,0.9007,0.8045,0.8781
2125,4003,"Cochise County, Arizona",78.83,0.9303,0.6651,0.8188,0.9239,0.9831
2126,4005,"Coconino County, Arizona",79.40,0.7638,0.6167,0.0815,0.8755,0.9819
2127,5013,"Calhoun County, Arkansas",75.71,0.5683,0.7096,0.8192,0.2996,0.2907
2128,5015,"Carroll County, Arkansas",77.97,0.6826,0.6399,0.5899,0.7781,0.51
2129,5025,"Cleveland County, Arkansas",76.09,0.6323,0.7466,0.9577,0.4744,0.1391
2130,5065,"Izard County, Arkansas",75.92,0.6377,0.8555,0.4674,0.0414,0.7351
2131,5075,"Lawrence County, Arkansas",74.83,0.7081,0.8672,0.7819,0.1032,0.6355
2132,5089,"Marion County, Arkansas",76.57,0.4989,0.8188,0.6046,0.0895,0.2506
2133,5111,"Poinsett County, Arkansas",72.14,0.8163,0.8329,0.9815,0.2665,0.5855
2134,5129,"Searcy County, Arkansas",76.28,0.4253,0.6154,0.5336,0.1719,0.3394
2135,5135,"Sharp County, Arkansas",75.40,0.6584,0.8125,0.8217,0.2467,0.4078
2136,5149,"Yell County, Arkansas",75.48,0.8835,0.7692,0.9634,0.8386,0.5995
2137,6051,"Mono County, California",82.96,0.2853,0.3591,0.006,0.8997,0.5221
2138,6055,"Napa County, California",80.49,0.5049,0.2709,0.0955,0.9465,0.8249
2139,6063,"Plumas County, California",78.33,0.3906,0.3566,0.4327,0.5533,0.3929
2140,6087,"Santa Cruz County, California",81.37,0.5148,0.3983,0.022000000000000002,0.9331,0.9039
2141,6097,"Sonoma County, California",81.09,0.4285,0.2875,0.0949,0.8956,0.6307
2142,6103,"Tehama County, California",77.74,0.9491,0.8526,0.9701,0.8513,0.7988
2143,6105,"Trinity County, California",77.28,0.731,0.6619,0.8908,0.5342,0.5677
2144,6111,"Ventura County, California",81.71,0.5062,0.3582,0.1722,0.9634,0.5447
2145,8003,"Alamosa County, Colorado",77.43,0.9834,0.8819,0.7077,0.9067,0.9987
2146,8009,"Baca County, Colorado",77.95,0.5314,0.5088,0.7593,0.6195,0.2932
2147,8033,"Dolores County, Colorado",79.50,0.3349,0.4486,0.9147,0.0987,0.163
2148,8037,"Eagle County, Colorado",85.94,0.1487,0.0764,0.0261,0.8873,0.3063
2149,8045,"Garfield County, Colorado",80.61,0.4448,0.2964,0.1108,0.8685,0.6651
2150,8063,"Kit Carson County, Colorado",79.52,0.5371,0.4518,0.4664,0.8281,0.397
2151,8073,"Lincoln County, Colorado",79.69,0.6842,0.6106,0.3387,0.8535,0.6504
2152,8109,"Saguache County, Colorado",79.75,0.7186,0.7953,0.3349,0.9209999999999999,0.3473
2153,8117,"Summit County, Colorado",86.83,0.07200000000000001,0.0621,0.0013,0.7574,0.3607
2154,8125,"Yuma County, Colorado",79.43,0.4546,0.3508,0.3547,0.8329,0.3887
2155,9001,"Fairfield County, Connecticut",81.80,0.4336,0.2286,0.128,0.9013,0.7087
2156,9003,"Hartford County, Connecticut",80.08,0.5259,0.2939,0.2108,0.8848,0.7787
2157,9009,"New Haven County, Connecticut",79.81,0.5075,0.3295,0.1331,0.8634,0.7778
2158,12003,"Baker County, Florida",75.25,0.7023,0.7061,0.6186,0.4906,0.6858
2159,12017,"Citrus County, Florida",76.73,0.6087,0.6918,0.4919,0.4435,0.5441
2160,12023,"Columbia County, Florida",75.15,0.8590000000000001,0.7765,0.5546,0.5247,0.978
2161,12037,"Franklin County, Florida",76.50,0.815,0.8319,0.3308,0.6211,0.8723
2162,12053,"Hernando County, Florida",77.60,0.6157,0.6816,0.7313,0.6622,0.2531
2163,12057,"Hillsborough County, Florida",78.55,0.6905,0.46799999999999997,0.2728,0.9392,0.8469
