,FIPS,Per_Capita_Income,Poverty,Disability,NoHighSchoolDiploma,LifeExpectancy
255,8021,18247.0,18.6,19.7,16.0,78.11
256,8023,20592.0,25.0,30.4,24.5,77.72
257,8025,11726.0,28.3,23.1,24.5,77.94
258,8027,25842.0,17.7,17.9,4.4,81.46
259,8029,24590.0,16.2,17.7,12.0,78.85
260,8031,34423.0,18.3,9.7,14.4,80.02
261,8033,21543.0,20.1,21.9,11.8,79.5
262,8035,44105.0,4.1,6.2,2.6,83.72
263,8037,39355.0,10.0,4.4,10.1,85.94
264,8039,36421.0,7.3,10.1,4.2,81.68
265,8041,29314.0,12.5,11.4,6.5,79.83
266,8043,19161.0,17.6,17.8,15.7,77.86
267,8045,27022.0,11.7,9.5,14.7,80.61
268,8047,37375.0,10.3,10.3,5.4,80.79
269,8049,31713.0,12.1,7.0,5.0,82.73
270,8051,27070.0,17.7,6.5,5.5,81.94
271,8053,36046.0,7.5,14.1,5.1,83.66
272,8055,23440.0,19.8,20.4,14.7,77.41
273,8057,25818.0,14.7,10.2,15.5,80.54
274,8059,36427.0,8.7,9.5,6.2,80.02
275,8061,22173.0,14.7,14.6,8.800000000000002,78.65
276,8063,21330.0,15.5,16.9,16.8,79.52
277,8065,25998.0,12.2,8.0,7.4,80.11
278,8067,31016.0,11.1,8.9,5.7,81.57
279,8069,31082.0,13.7,9.4,4.9,81.72
280,8071,23365.0,16.3,18.1,14.3,77.65
281,8073,17594.0,16.3,19.0,19.9,79.69
282,8075,23533.0,16.9,14.4,12.4,79.5
283,8077,26518.0,15.8,13.8,10.3,78.77
284,8079,34305.0,6.8,19.7,3.5,81.25
285,8081,24623.0,11.6,10.7,10.9,78.46
286,8083,23611.0,18.4,14.8,9.9,77.64
287,8085,23408.0,17.2,15.2,13.1,79.59
288,8087,21297.0,12.3,11.5,20.8,79.14
289,8089,18868.0,25.8,19.8,17.5,76.44
290,8091,32562.0,7.4,10.9,1.9,83.0
291,8093,31838.0,8.3,9.2,4.2,82.37
292,8095,22996.0,18.6,13.9,16.2,80.42
293,8097,54441.0,8.800000000000002,7.1,5.2,86.52
